V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,city,tap,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,PIIcomment,hardship,contact,trap,t01,t02,t03,t04,t05,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,SQcomment,LocationLatitude,LocationLongitude,LocationAccuracy
R_42YYs71N42fjvGl,Default Response Set,Anonymous,,,173.76.179.173,0,2015-03-18 10:38:06,2015-03-18 10:43:43,1,1264613781,iZXUO4qzTRRkyaHq2xry4w**,27197,Qual712-0618WaterUtilities,1,,337,19007145101233,1,3,1,2,1,5,6,7,4,3,2,3,2,"cooking , drinking, bathing,cleaning",1,1,1,7,7,6,6,4,6,7,6,6,5,7,6,5,6,4,6,4,7,nothing,42.533493041992,-71.10359954834,-1
R_dm7tJK2JUsGrEZD,Default Response Set,Anonymous,,,107.185.239.173,0,2015-03-18 10:42:32,2015-03-18 10:44:50,1,1278527329,iZXUO4qzTRT7l8QtBKZXCQ**,27197,Qual712-0618WaterUtilities,2,attention,138,,1,1,1,1,1,7,7,7,7,1,1,1,1,Cooking and bathing,1,2,0,,,,,,,,,,,,,,,,,,,,33.826705932617,-118.26069641113,-1
R_exJr2XT2oi2JTkF,Default Response Set,Anonymous,,,108.80.17.158,0,2015-03-18 10:50:12,2015-03-18 10:50:34,1,1277579775,iZXUO4qzTRQRBaUpaGxFzA**,27197,Qual712-0618WaterUtilities,2,otherCity,22,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.826293945312,-117.91059875488,-1
R_4ZtZ5xTXm2ButA9,Default Response Set,Anonymous,,,73.47.185.55,0,2015-03-18 10:46:23,2015-03-18 10:50:48,1,1212150337,iZXUO4qzTRTnaj46y4DQHQ**,27197,Qual712-0618WaterUtilities,1,,265,18218619537913,1,3,1,1,1,7,7,7,5,3,2,2,1,"cleaning dishes, bathing",1,1,1,7,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,7,5,Once in a great whileI have problems with water pressure.  I think the water company has done a good job in making the tap water clean.,42.279296875,-71.165702819824,-1
R_7973uT3ayU8g7nD,Default Response Set,Anonymous,,,75.71.185.171,0,2015-03-18 10:49:37,2015-03-18 10:51:10,1,1260074765,iZXUO4qzTRQmiR1W36Zy_Q**,27197,Qual712-0618WaterUtilities,1,,93,18938923690753,1,2,1,7,7,4,2,6,1,7,4,7,7,xcvbdfsgdfbvsdf sgfdh yhe5yu ghjfghkr4i6y7u jnhr6y i56r7 yjuhryutu7n5 78u67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,gfmfgyhjf hjrtyj rtyj6rij6r7urjty,39.705505371094,-104.96640014648,-1
R_a44PZRccGLwPGvz,Default Response Set,Anonymous,,,73.182.140.99,0,2015-03-18 10:52:13,2015-03-18 10:55:19,1,1270684607,iZXUO4qzTRSEZNZ8RKH8SA**,27197,Qual712-0618WaterUtilities,1,,186,19098389616013,1,3,1,2,2,5,6,7,4,6,4,6,5,To wash dishes.,2,1,1,7,6,4,6,6,6,6,7,6,7,6,6,5,6,6,7,6,6,,42.428100585938,-71.05460357666,-1
R_2aGW20PUc3ZcqR7,Default Response Set,Anonymous,,,70.192.8.55,0,2015-03-18 10:56:17,2015-03-18 10:58:45,1,1278080479,iZXUO4qzTRQBaZ60-S_yiA**,27197,Qual712-0618WaterUtilities,1,,148,19209549572173,1,3,1,1,1,7,7,7,7,1,1,1,1,Drinking ,2,1,1,7,6,4,1,6,6,5,3,4,1,3,4,4,1,4,3,4,2,,42.393096923828,-71.134498596191,-1
R_3q8frUaJqvFcwLz,Default Response Set,Anonymous,,,50.183.115.149,0,2015-03-18 10:56:49,2015-03-18 10:59:58,1,1260539937,iZXUO4qzTRQFlFth8mM2Uw**,27197,Qual712-0618WaterUtilities,1,,189,18945915225913,1,2,1,1,1,7,6,7,5,4,2,2,4,Showers and drinking water.,1,3,1,7,7,7,4,7,7,6,3,6,7,7,3,4,4,5,7,7,7,,39.935501098633,-105.04730224609,-1
R_9QxZ8jyrUMDqvA1,Default Response Set,Anonymous,,,174.63.138.114,0,2015-03-18 11:02:17,2015-03-18 11:05:27,1,1254228890,iZXUO4qzTRS4mxet1sonKA**,27197,Qual712-0618WaterUtilities,1,,190,18851060189503,1,3,1,1,2,7,7,7,5,5,3,5,2,very important,2,1,1,6,6,6,6,6,5,6,4,5,4,5,4,4,6,4,6,4,6,none,26.114501953125,-81.736602783203,-1
R_1MpT5RGSfePXPSt,Default Response Set,Anonymous,,,98.112.113.162,0,2015-03-18 11:03:29,2015-03-18 11:07:08,1,1236019071,iZXUO4qzTRRgDrsVY-0rrQ**,27197,Qual712-0618WaterUtilities,1,,219,18577366609933,1,1,1,1,4,7,7,7,4,4,4,4,4,to get clean,1,1,1,7,4,7,4,7,4,7,4,7,4,7,4,4,7,4,7,4,4,nothing,33.874298095703,-118.37210083008,-1
R_6nvMSaMnjSF01y5,Default Response Set,Anonymous,,,99.100.241.56,0,2015-03-18 11:07:03,2015-03-18 11:07:39,1,1232769034,iZXUO4qzTRRiPC4a75osqA**,27197,Qual712-0618WaterUtilities,2,otherCity,36,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.462295532227,-97.341903686523,-1
R_0p3ppdVnTZbNaqp,Default Response Set,Anonymous,,,99.109.199.157,0,2015-03-18 10:58:27,2015-03-18 11:08:30,1,1106437226,iZXUO4qzTRQBuICYkYog5g**,27197,Qual712-0618WaterUtilities,1,,603,16629751479583,1,1,1,2,2,6,6,7,5,4,4,5,4,washing dishes,2,1,1,6,6,5,6,6,5,6,6,6,6,6,5,6,5,5,6,5,6,no comments,34.137893676758,-118.1296005249,-1
R_2afuDr8p24pmpPT,Default Response Set,Anonymous,,,50.152.24.22,0,2015-03-18 11:05:00,2015-03-18 11:08:38,1,1136403948,iZXUO4qzTRT6cEjYug96uA**,27197,Qual712-0618WaterUtilities,1,,218,17080151311243,1,2,1,1,1,6,7,5,5,3,4,5,3,bathing,6,1,1,7,4,4,3,6,5,6,6,6,5,6,5,6,5,6,5,6,6,,39.597503662109,-105.01409912109,-1
R_08ptB3gmZgCsVI9,Default Response Set,Anonymous,,,50.155.172.204,0,2015-03-18 11:06:27,2015-03-18 11:09:45,1,1125142026,iZXUO4qzTRRdKn-EUmG6rw**,27197,Qual712-0618WaterUtilities,1,,198,16910884623583,1,2,1,1,1,6,7,7,5,4,3,4,3,Laundry,1,1,1,7,7,7,6,7,7,7,4,7,4,7,4,4,4,4,7,4,7,None,39.731292724609,-104.96920013428,-1
R_8uoXmNLngytfnut,Default Response Set,Anonymous,,,104.173.180.15,0,2015-03-18 11:10:12,2015-03-18 11:12:38,1,1277453979,iZXUO4qzTRTDUhk2Rvc2jQ**,27197,Qual712-0618WaterUtilities,1,,146,19200133277173,1,1,1,1,1,7,7,7,7,1,1,1,1,TAKE A SHOWER,5,2,1,7,7,7,6,6,6,6,7,6,7,7,7,6,6,6,7,7,6,VERY GOOD,34.108093261719,-118.22869873047,-1
R_eSgClPtT0qZu7Wd,Default Response Set,Anonymous,,,50.28.79.80,0,2015-03-18 11:12:46,2015-03-18 11:17:07,1,1267792778,iZXUO4qzTRSJgL3ZvIwSVQ**,27197,Qual712-0618WaterUtilities,1,,261,19054925426143,1,3,1,7,7,1,7,1,1,7,7,1,1,Drink wash take batg,5,1,1,7,7,6,7,7,5,6,7,7,5,6,5,5,5,5,5,5,5,My tap water is probably the best to drink,42.725692749023,-84.636001586914,-1
R_2tSRp9bgPTS7usd,Default Response Set,Anonymous,,,96.252.66.124,0,2015-03-18 11:16:09,2015-03-18 11:19:04,1,1276470625,iZXUO4qzTRQnNlL6lXx_yA**,27197,Qual712-0618WaterUtilities,1,,175,19185353466553,1,3,1,7,1,7,7,7,7,7,1,7,1,"Coffee,gaterade,tea",5,1,1,7,2,1,2,5,3,1,1,1,1,1,1,1,7,1,3,1,1,Inconsitant,42.215896606445,-70.879302978516,-1
R_8AOODjRHPmQgpYF,Default Response Set,Anonymous,,,68.228.85.68,0,2015-03-18 11:18:16,2015-03-18 11:20:01,1,1277759272,iZXUO4qzTRSSvnZqPlsQBA**,27197,Qual712-0618WaterUtilities,2,attention,105,,1,1,1,1,1,7,7,7,4,4,2,2,3,Drinking,2,1,0,,,,,,,,,,,,,,,,,,,,33.708099365234,-117.75959777832,-1
R_b960dUHDUweAz6l,Default Response Set,Anonymous,,,68.5.50.32,0,2015-03-18 11:20:09,2015-03-18 11:20:25,1,1278521610,iZXUO4qzTRQF-Y3x5WvqBw**,27197,Qual712-0618WaterUtilities,2,otherCity,16,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.619903564453,-117.61190032959,-1
R_8ppdnxm3OZa1xVb,Default Response Set,Anonymous,,,71.196.249.46,0,2015-03-18 11:20:07,2015-03-18 11:24:22,1,1220279513,iZXUO4qzTRTqkgKE8m_QsA**,27197,Qual712-0618WaterUtilities,1,,255,18340801053193,1,2,1,1,1,7,7,7,5,4,2,3,4,Drinking it,1,1,1,7,7,7,6,7,4,4,4,5,4,4,4,4,4,4,4,4,4,,39.705505371094,-104.96640014648,-1
R_cT24TbQo7WgXO3H,Default Response Set,Anonymous,,,96.252.69.168,0,2015-03-18 11:24:50,2015-03-18 11:25:07,1,1277326571,iZXUO4qzTRSvKkn2860UHQ**,27197,Qual712-0618WaterUtilities,2,otherCity,17,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.664901733398,-70.810897827148,-1
R_czFORnQ9iB3fw7b,Default Response Set,Anonymous,,,98.245.247.125,0,2015-03-18 11:28:07,2015-03-18 11:29:56,1,1277597217,iZXUO4qzTRR9NuUnJyz_jg**,27197,Qual712-0618WaterUtilities,1,,109,19202286144313,1,2,1,6,2,6,2,5,1,7,7,7,4,Taking showers and baths,2,2,1,5,4,5,2,5,5,4,5,6,5,6,4,6,4,3,4,2,3,,39.327606201172,-104.81629943848,-1
R_8H4YKKJV4wgFUdn,Default Response Set,Anonymous,,,73.218.76.15,0,2015-03-18 11:24:52,2015-03-18 11:31:17,1,1277783266,iZXUO4qzTRSBJGDf84wymg**,27197,Qual712-0618WaterUtilities,1,,385,19205082460783,1,3,1,2,3,7,6,7,4,3,2,4,5,"washing hands, body and hair",2,2,1,6,5,5,5,5,5,5,6,6,4,6,4,4,4,4,6,4,4," I can smell the chlorine in my water, so I don't drink it I buy bottled water.",42.079605102539,-71.038200378418,-1
R_eA8mePlxCEREDDT,Default Response Set,Anonymous,,,76.175.228.184,0,2015-03-18 11:30:12,2015-03-18 11:35:28,1,1089463629,iZXUO4qzTRQdo032IAUpsw**,27197,Qual712-0618WaterUtilities,1,,316,16374638316673,1,1,1,1,3,4,7,7,1,7,3,7,7,COOKING,6,1,1,6,7,6,4,6,4,5,3,6,3,5,2,3,4,1,5,6,2,I HAVE NO IDEA IF MY WATER BILL IS ACCURATE SINCE I CAN'T TELL HOW MUCH WATER I'VE USED ETC,34.697601318359,-117.90679931641,-1
R_aguCe31PfmCSPT7,Default Response Set,Anonymous,,,75.69.231.175,0,2015-03-18 11:34:49,2015-03-18 11:37:38,1,1272026929,iZXUO4qzTRSTxSbEix59nw**,27197,Qual712-0618WaterUtilities,1,,169,19118564715673,1,3,1,2,6,2,2,1,3,6,6,5,7,Drinking,2,3,1,6,5,5,3,6,4,6,5,4,7,5,5,3,4,5,2,6,4,nope,42.315902709961,-71.05590057373,-1
R_1NOwtLtBXBYnHgx,Default Response Set,Anonymous,,,98.110.199.105,0,2015-03-18 11:34:50,2015-03-18 11:38:45,1,1131993287,iZXUO4qzTRQfP6LWoMBPiw**,27197,Qual712-0618WaterUtilities,1,,235,17013859076413,1,3,1,4,2,4,5,7,4,5,4,4,4,drinking,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,no comment,42.15119934082,-71.256896972656,-1
R_0fbp6DqVuGxPWWF,Default Response Set,Anonymous,,,107.178.33.219,0,2015-03-19 08:15:29,2015-03-19 08:15:49,1,1213675326,iZXUO4qzTRSYS8HrvSxTww**,27197,Qual712-0618WaterUtilities,2,otherCity,20,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.25390625,-122.06379699707,-1
R_9Z8cJWTzukJizxb,Default Response Set,Anonymous,,,162.199.201.113,0,2015-03-19 08:22:26,2015-03-19 08:22:46,1,1207310909,iZXUO4qzTRQ8x6tYBmbBPQ**,27197,Qual712-0618WaterUtilities,2,otherCity,20,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.645095825195,-117.67860412598,-1
R_9RdfgC1Z1N2J6g5,Default Response Set,Anonymous,,,75.166.190.23,0,2015-03-19 08:20:43,2015-03-19 08:23:04,1,1175083718,iZXUO4qzTRRIe-dmr-uRyg**,27197,Qual712-0618WaterUtilities,1,,141,17661508254343,1,2,1,2,2,6,6,6,5,3,3,3,3,"drinking, even though we ""cleanse"" it; washing clothes, bodies, etc.",4,2,1,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,n/a,39.771301269531,-105.04989624023,-1
R_8eHSxFWQ6o7RkUJ,Default Response Set,Anonymous,,,75.68.131.162,0,2015-03-19 08:23:29,2015-03-19 08:23:55,1,1271989998,iZXUO4qzTRRbx1uJYI3IxQ**,27197,Qual712-0618WaterUtilities,2,otherCity,26,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.854095458984,-70.952102661133,-1
R_38JiiPeuBjlu4VT,Default Response Set,Anonymous,,,68.123.224.212,0,2015-03-19 08:19:37,2015-03-19 08:24:12,1,1250032102,iZXUO4qzTRQHn24dpnV_gg**,27197,Qual712-0618WaterUtilities,1,,275,18787982465863,1,1,1,1,1,7,7,7,5,6,4,7,2,showers,2,2,1,7,6,6,6,7,4,7,7,7,7,7,7,4,5,4,5,6,7,,34.081497192383,-118.17919921875,-1
R_eyWnbeExxr997eJ,Default Response Set,Anonymous,,,24.8.225.125,0,2015-03-19 08:25:13,2015-03-19 08:25:34,1,1230079889,iZXUO4qzTRROKMFzdwyL-A**,27197,Qual712-0618WaterUtilities,2,otherCity,21,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.742706298828,-105.07260131836,-1
R_eRT0QeQwYfZA6Xz,Default Response Set,Anonymous,,,70.196.192.126,0,2015-03-19 08:18:30,2015-03-19 08:26:01,1,1278611737,iZXUO4qzTRScNzjHUPeHCA**,27197,Qual712-0618WaterUtilities,1,,451,19217534379913,1,2,1,2,3,7,7,7,2,6,5,6,6,Cooking,3,3,1,7,6,7,2,5,7,7,7,7,7,7,6,3,6,6,7,6,7,Their online site is very user friendly,39.739196777344,-104.98470306396,-1
R_8J5MHkVy8XFhbLv,Default Response Set,Anonymous,,,76.110.152.42,0,2015-03-19 08:17:03,2015-03-19 08:30:06,1,1254388122,iZXUO4qzTRT7GcZiQXFTng**,27197,Qual712-0618WaterUtilities,1,,783,18853453446463,1,3,1,1,1,5,5,5,4,4,3,4,4,Washing,1,1,1,6,4,6,6,6,6,4,5,5,4,4,4,4,4,4,6,6,5,None,26.595794677734,-80.129898071289,-1
R_bD9qdbZSsIavJXL,Default Response Set,Anonymous,,,98.189.110.142,0,2015-03-19 08:27:44,2015-03-19 08:31:10,1,1274630427,iZXUO4qzTRTHauSbe9uVDg**,27197,Qual712-0618WaterUtilities,1,,206,19157695290613,1,1,1,1,1,7,7,7,6,3,3,2,4,Everything. Water is essential for life.,1,2,1,7,7,7,6,7,6,7,5,7,6,7,5,5,5,5,5,4,5,,33.675094604492,-117.73390197754,-1
R_d6G5zF1c214RqJf,Default Response Set,Anonymous,,,50.183.8.214,0,2015-03-19 08:29:42,2015-03-19 08:31:12,1,1278611180,iZXUO4qzTRQJvHW1lAiF2g**,27197,Qual712-0618WaterUtilities,2,attention,90,,1,2,1,1,1,6,7,7,6,3,1,4,2,Drinking,1,1,0,,,,,,,,,,,,,,,,,,,,39.742706298828,-105.07260131836,-1
R_4YIk0zaIoNajjxz,Default Response Set,Anonymous,,,76.79.159.10,0,2015-03-19 08:30:37,2015-03-19 08:31:56,1,1275236440,iZXUO4qzTRTQNj52nldhCA**,27197,Qual712-0618WaterUtilities,2,attention,79,,1,1,1,1,1,6,6,7,7,4,6,4,1,to clean,2,1,0,,,,,,,,,,,,,,,,,,,,34.039596557617,-118.26609802246,-1
R_a47wUHxGAuot1qJ,Default Response Set,Anonymous,,,172.56.23.95,0,2015-03-19 08:25:52,2015-03-19 08:33:54,1,1277995688,iZXUO4qzTRTk58tZxRq1cg**,27197,Qual712-0618WaterUtilities,1,,482,19208275163443,1,3,1,1,1,7,7,7,7,1,1,1,1,Cooking and drinking,3,3,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Very satisfied with my tap water,42.284805297852,-71.074096679688,-1
R_0w8MqYSDzcLXFk1,Default Response Set,Anonymous,,,50.169.123.82,0,2015-03-19 08:20:48,2015-03-19 08:35:08,1,1278607452,iZXUO4qzTRT0Hef40cJGMw**,27197,Qual712-0618WaterUtilities,1,,860,19217469976363,1,3,1,1,1,7,7,7,1,7,7,4,4,Showering,4,1,1,7,3,7,4,3,5,6,5,4,5,4,4,4,6,4,4,4,6,,42.648895263672,-71.165496826172,-1
