Date_Sampled,Sample_No,Sample_Point,Zone,Result,Units
2018-01-28T13:00:00Z,5459348,095D07,Southwold,0.1,NTU
2018-01-07T13:00:00Z,5457231,095D02,Southwold,0.05,NTU
2017-11-28T13:00:00Z,5386256,095D10,Southwold,0.1,NTU
2018-02-04T13:00:00Z,5459588,095D04,Southwold,0.2,NTU
2018-04-02T14:00:00Z,5579843,095D03,Southwold,0.05,NTU
2018-04-29T14:00:00Z,5580878,095D10,Southwold,0.1,NTU
2018-03-04T13:00:00Z,5460601,095D01,Southwold,0.05,NTU
2018-10-14T13:00:00Z,5798388,095D08,Southwold,0.2,NTU
2018-08-26T14:00:00Z,5735284,095D02,Southwold,0.2,NTU
2018-02-25T13:00:00Z,5555997,095D08,Southwold,0.1,NTU
2018-07-15T14:00:00Z,5690691,095D10,Southwold,0.3,NTU
2018-09-16T14:00:00Z,5766322,095D07,Southwold,0.2,NTU
2018-11-04T13:00:00Z,5847142,095D11,Southwold,5.467023970559239,NTU
2018-05-13T14:00:00Z,5581280,095D08,Southwold,0.1,NTU
2018-05-20T14:00:00Z,5581519,095D01,Southwold,0.1,NTU
2018-09-30T14:00:00Z,5797865,095D10,Southwold,0.2,NTU
2018-05-27T14:00:00Z,5581709,095D09,Southwold,0.2,NTU
2018-07-08T14:00:00Z,5690436,095D04,Southwold,5.532649630215019,NTU
2018-04-16T14:00:00Z,5580368,095D07,Southwold,0.1,NTU
2018-09-23T14:00:00Z,5766589,095D04,Southwold,0.2,NTU
2018-11-11T13:00:00Z,5847391,095D02,Southwold,0.3,NTU
2017-09-10T14:00:00Z,5282127,095D10,Southwold,4.147187627851963,NTU
2018-08-05T14:00:00Z,5734594,095D01,Southwold,0.3,NTU
2018-10-21T13:00:00Z,5798666,095D01,Southwold,0.1,NTU
2019-01-13T13:00:00Z,5923485,095D09,Southwold,0.2,NTU
2018-09-09T14:00:00Z,5766029,095D05,Southwold,0.2,NTU
2018-06-11T14:00:00Z,5582047,095D02,Southwold,0.2,NTU
2018-10-07T13:00:00Z,5798101,095D06,Southwold,0.2,NTU
2018-06-24T14:00:00Z,5594933,095D05,Southwold,0.1,NTU
2018-07-29T14:00:00Z,5734453,095D08,Southwold,4.353568011894822,NTU
2018-12-16T13:00:00Z,5889656,095D10,Southwold,0.2,NTU
2017-12-17T13:00:00Z,5387118,095D01,Southwold,0.1,NTU
2018-04-22T14:00:00Z,5580643,095D04,Southwold,0.05,NTU
2018-06-17T14:00:00Z,5589127,095D03,Southwold,0.1,NTU
2018-10-28T13:00:00Z,5798987,095D09,Southwold,0.2,NTU
2018-12-02T13:00:00Z,5889028,095D07,Southwold,0.05,NTU
2018-11-18T13:00:00Z,5847784,095D03,Southwold,0.1,NTU
2017-08-27T14:00:00Z,5281633,095D07,Southwold,0.1,NTU
2017-09-03T14:00:00Z,5281818,095D04,Southwold,0.1,NTU
2017-11-05T13:00:00Z,5385373,095D05,Southwold,0.2,NTU
2018-09-02T14:00:00Z,5765759,095D03,Southwold,0.2,NTU
2018-12-09T13:00:00Z,5889301,095D04,Southwold,0.2,NTU
2019-01-06T13:00:00Z,5923207,095D01,Southwold,0.2,NTU
2018-11-26T13:00:00Z,5900112,095D05,Southwold,0.2,NTU
2019-01-20T13:00:00Z,5923739,095D11,Southwold,0.1,NTU
2018-12-23T13:00:00Z,5890156,095M05,Wakefield,0.2,NTU
2018-10-03T14:00:00Z,5798016,095M01,Wakefield,0.2,NTU
2019-01-16T13:00:00Z,5923666,095M01,Wakefield,0.2,NTU
2018-08-15T14:00:00Z,5735033,095M02,Wakefield,0.1,NTU
2018-01-04T13:00:00Z,5457155,095M03,Wakefield,0.1,NTU
2017-11-02T13:00:00Z,5385287,095M01,Wakefield,0.1,NTU
2019-04-03T13:00:00Z,6025893,095M04,Wakefield,0.2,NTU
2019-05-15T14:00:00Z,6075672,095M05,Wakefield,0.2,NTU
2018-07-11T14:00:00Z,5690618,095M02,Wakefield,0.2,NTU
2018-06-27T14:00:00Z,5605817,095M04,Wakefield,4.592869692482054,NTU
2018-10-17T13:00:00Z,5798595,095M05,Wakefield,0.2,NTU
2017-02-08T13:00:00Z,5039777,095M04,Wakefield,0.2,NTU
2017-01-18T13:00:00Z,5019397,095M02,Wakefield,0.2,NTU
2019-02-20T13:00:00Z,5943526,095M01,Wakefield,0.2,NTU
2017-05-17T14:00:00Z,5173193,095M04,Wakefield,0.1,NTU
2018-12-12T13:00:00Z,5889558,095M01,Wakefield,0.3,NTU
2017-12-21T13:00:00Z,5387336,095M01,Wakefield,0.1,NTU
2017-06-28T14:00:00Z,5264601,095M01,Wakefield,0.05,NTU
2019-02-06T13:00:00Z,5942681,095M02,Wakefield,0.2,NTU
2017-01-11T13:00:00Z,5019059,095M01,Wakefield,5.554812424816191,NTU
2019-01-23T13:00:00Z,5923915,095M04,Wakefield,0.3,NTU
2017-06-08T14:00:00Z,5198495,095M04,Wakefield,0.1,NTU
2019-03-20T13:00:00Z,5988005,095M03,Wakefield,0.3,NTU
2019-05-08T14:00:00Z,6075400,095M04,Wakefield,0.2,NTU
2019-04-22T14:00:00Z,6027024,095M03,Wakefield,0.4,NTU
2017-08-23T14:00:00Z,5281568,095M04,Wakefield,0.2,NTU
2017-08-10T14:00:00Z,5281076,095M04,Wakefield,0.1,NTU
2017-08-02T14:00:00Z,5306611,095M02,Wakefield,0.05,NTU
2019-02-27T13:00:00Z,5943763,095M04,Wakefield,0.2,NTU
2017-03-08T13:00:00Z,5092993,095M01,Wakefield,4.469265565741807,NTU
2018-03-21T13:00:00Z,5484312,095M02,Wakefield,0.05,NTU
2019-04-17T14:00:00Z,6026741,095M02,Wakefield,0.2,NTU
2019-02-13T13:00:00Z,5943201,095M03,Wakefield,0.2,NTU
2019-03-14T13:00:00Z,5987694,095M02,Wakefield,0.2,NTU
2018-09-05T14:00:00Z,5765947,095M04,Wakefield,5.995478489436209,NTU
2018-06-06T14:00:00Z,5581986,095M02,Wakefield,0.1,NTU
2017-03-29T13:00:00Z,5093735,095M03,Wakefield,0.1,NTU
2017-01-03T13:00:00Z,5018700,095M03,Wakefield,0.1,NTU
2017-02-01T13:00:00Z,5039163,095M01,Wakefield,0.2,NTU
2019-05-29T14:00:00Z,6076077,095M03,Wakefield,0.3,NTU
2019-05-22T14:00:00Z,6075914,095M02,Wakefield,0.1,NTU
2017-04-06T14:00:00Z,5131105,095M01,Wakefield,0.3,NTU
2019-06-05T14:00:00Z,6092372,095M01,Wakefield,0.2,NTU
2019-05-01T14:00:00Z,6075238,095M01,Wakefield,0.2,NTU
2019-01-31T13:00:00Z,5924138,095M05,Wakefield,0.2,NTU
2017-02-15T13:00:00Z,5040076,095M03,Wakefield,5.892239688895643,NTU
2019-03-06T13:00:00Z,5987395,095M05,Wakefield,0.2,NTU
2017-03-22T13:00:00Z,5093493,095M04,Wakefield,0.2,NTU
2017-04-27T14:00:00Z,5132792,095M03,Wakefield,4.091738400049508,NTU
2019-04-10T14:00:00Z,6026338,095M05,Wakefield,0.2,NTU
2019-03-27T13:00:00Z,5988256,095M01,Wakefield,0.1,NTU
2017-06-15T14:00:00Z,5198748,095M01,Wakefield,0.1,NTU
2017-04-10T14:00:00Z,5132136,095M04,Wakefield,0.1,NTU
2017-03-01T13:00:00Z,5092727,095M03,Wakefield,0.2,NTU
2017-05-10T14:00:00Z,5172954,095M03,Wakefield,0.1,NTU
2017-09-13T14:00:00Z,5282343,095M03,Wakefield,0.1,NTU
2017-05-03T14:00:00Z,5172076,095M01,Wakefield,0.2,NTU
2017-12-28T13:00:00Z,5387620,095M04,Wakefield,0.2,NTU
2017-08-16T14:00:00Z,5281355,095M03,Wakefield,0.1,NTU
2017-11-08T13:00:00Z,5385565,095M02,Wakefield,0.1,NTU
2018-01-24T13:00:00Z,5457922,095M05,Wakefield,0.1,NTU
2017-07-13T14:00:00Z,5283659,095M03,Wakefield,0.05,NTU
2017-06-01T14:00:00Z,5173653,095M02,Wakefield,0.1,NTU
2017-10-25T13:00:00Z,5344542,095M04,Wakefield,0.1,NTU
2017-11-15T13:00:00Z,5385874,095M04,Wakefield,0.2,NTU
2018-01-31T13:00:00Z,5459502,095M01,Wakefield,0.05,NTU
2018-02-07T13:00:00Z,5459791,095M04,Wakefield,0.05,NTU
2017-06-22T14:00:00Z,5199007,095M04,Wakefield,0.05,NTU
2017-07-05T14:00:00Z,5272647,095M02,Wakefield,0.1,NTU
2017-10-11T13:00:00Z,5343979,095M04,Wakefield,0.1,NTU
2018-02-14T13:00:00Z,5460036,095M02,Wakefield,0.05,NTU
2017-12-06T13:00:00Z,5386725,095M03,Wakefield,0.1,NTU
2017-01-26T13:00:00Z,5019662,095M03,Wakefield,0.1,NTU
2017-03-16T13:00:00Z,5093257,095M02,Wakefield,0.2,NTU
2017-02-22T13:00:00Z,5040326,095M01,Wakefield,0.2,NTU
2017-05-24T14:00:00Z,5173410,095M01,Wakefield,0.3,NTU
2017-10-04T13:00:00Z,5343613,095M01,Wakefield,0.1,NTU
2018-01-18T13:00:00Z,5457681,095M03,Wakefield,0.1,NTU
2018-04-03T14:00:00Z,5606057,095M05,Wakefield,0.05,NTU
2017-12-13T13:00:00Z,5387020,095M04,Wakefield,0.1,NTU
2017-09-20T14:00:00Z,5282619,095M02,Wakefield,0.1,NTU
2017-04-20T14:00:00Z,5132435,095M02,Wakefield,4.928617761004716,NTU
2018-03-07T13:00:00Z,5569047,095M01,Wakefield,0.4,NTU
2018-03-15T13:00:00Z,5577977,095M04,Wakefield,0.05,NTU
2017-11-30T13:00:00Z,5386422,095M01,Wakefield,0.1,NTU
2018-05-02T14:00:00Z,5580984,095M02,Wakefield,0.1,NTU
2018-02-21T13:00:00Z,5460299,095M03,Wakefield,0.2,NTU
2017-07-19T14:00:00Z,5252311,095M01,Wakefield,0.1,NTU
2017-07-26T14:00:00Z,5297958,095M03,Wakefield,0.05,NTU
2017-10-18T13:00:00Z,5344288,095M03,Wakefield,0.1,NTU
2017-11-22T13:00:00Z,5386193,095M02,Wakefield,0.1,NTU
2018-04-11T14:00:00Z,5614505,095M01,Wakefield,0.1,NTU
2018-03-28T13:00:00Z,5605667,095M03,Wakefield,0.2,NTU
2018-01-10T13:00:00Z,5457422,095M05,Wakefield,0.1,NTU
2018-06-14T14:00:00Z,5582231,095M03,Wakefield,0.2,NTU
2018-05-17T14:00:00Z,5661649,095M01,Wakefield,0.05,NTU
2018-04-26T14:00:00Z,5580798,095M05,Wakefield,0.05,NTU
2018-07-18T14:00:00Z,5690913,095M03,Wakefield,0.2,NTU
2018-07-25T14:00:00Z,5691241,095M01,Wakefield,0.2,NTU
2018-09-12T14:00:00Z,5766242,095M05,Wakefield,0.3,NTU
2018-08-22T14:00:00Z,5735236,095M03,Wakefield,0.1,NTU
2018-11-01T13:00:00Z,5799172,095M03,Wakefield,0.2,NTU
2018-05-09T14:00:00Z,5581206,095M03,Wakefield,0.1,NTU
2018-02-28T13:00:00Z,5566188,095M05,Wakefield,0.05,NTU
2018-04-18T14:00:00Z,5580561,095M04,Wakefield,0.1,NTU
2018-10-10T13:00:00Z,5798311,095M04,Wakefield,0.2,NTU
2018-08-08T14:00:00Z,5734759,095M05,Wakefield,210,NTU
2018-08-01T14:00:00Z,5734532,095M04,Wakefield,0.2,NTU
2018-10-24T13:00:00Z,5798928,095M02,Wakefield,0.2,NTU
2018-09-20T14:00:00Z,5766524,095M02,Wakefield,0.3,NTU
2018-09-26T14:00:00Z,5766749,095M03,Wakefield,4.3501138663850725,NTU
2019-01-09T13:00:00Z,5923404,095M03,Wakefield,4.048242611810565,NTU
2018-07-04T14:00:00Z,5690316,095M05,Wakefield,0.1,NTU
2017-09-06T14:00:00Z,5281993,095M01,Wakefield,0.1,NTU
2018-12-19T13:00:00Z,5889905,095M04,Wakefield,0.1,NTU
2019-01-03T13:00:00Z,5923107,095M02,Wakefield,0.2,NTU
2018-11-28T13:00:00Z,5848223,095M02,Wakefield,0.2,NTU
2018-11-07T13:00:00Z,5847297,095M01,Wakefield,0.2,NTU
2018-11-21T13:00:00Z,5847989,095M05,Wakefield,0.2,NTU
2017-09-27T14:00:00Z,5282885,095M03,Wakefield,0.1,NTU
2018-05-23T14:00:00Z,5581652,095M04,Wakefield,0.05,NTU
2018-05-30T14:00:00Z,5581816,095M05,Wakefield,0.3,NTU
2018-06-20T14:00:00Z,5594869,095M01,Wakefield,0.2,NTU
2018-11-14T13:00:00Z,5847702,095M04,Wakefield,0.1,NTU
2018-12-05T13:00:00Z,5889208,095M03,Wakefield,0.1,NTU
2017-08-30T14:00:00Z,5281734,095M02,Wakefield,0.1,NTU
2018-08-29T14:00:00Z,5737429,095M01,Wakefield,0.2,NTU
2018-12-23T13:00:00Z,5890165,095L02,Tarnstead,0.2,NTU
2018-08-15T14:00:00Z,5735054,095L01,Tarnstead,0.3,NTU
2019-01-16T13:00:00Z,5923682,095L02,Tarnstead,0.1,NTU
2017-11-02T13:00:00Z,5385299,095L05,Tarnstead,0.1,NTU
2017-01-11T13:00:00Z,5019079,095L04,Tarnstead,0.2,NTU
2019-02-06T13:00:00Z,5942706,095L05,Tarnstead,0.2,NTU
2018-07-11T14:00:00Z,5690642,095L01,Tarnstead,0.1,NTU
2018-06-27T14:00:00Z,5605839,095L03,Tarnstead,0.05,NTU
2018-06-06T14:00:00Z,5581994,095L03,Tarnstead,0.2,NTU
2018-03-21T13:00:00Z,5587104,095L02,Tarnstead,0.05,NTU
2018-10-17T13:00:00Z,5798623,095L03,Tarnstead,0.2,NTU
2017-02-15T13:00:00Z,5040087,095L04,Tarnstead,0.1,NTU
2017-03-29T13:00:00Z,5093745,095L02,Tarnstead,4.825020200572908,NTU
2019-02-21T13:00:00Z,5943551,095L04,Tarnstead,0.2,NTU
2017-05-17T14:00:00Z,5173210,095L03,Tarnstead,0.1,NTU
2019-04-03T13:00:00Z,6025927,095L02,Tarnstead,0.7,NTU
2018-12-12T13:00:00Z,5889579,095L03,Tarnstead,0.1,NTU
2017-12-20T13:00:00Z,5387355,095L04,Tarnstead,0.1,NTU
2019-05-15T14:00:00Z,6075695,095L04,Tarnstead,0.05,NTU
2019-01-23T13:00:00Z,5923934,095L04,Tarnstead,0.1,NTU
2017-06-08T14:00:00Z,5198513,095L05,Tarnstead,0.2,NTU
2017-01-18T13:00:00Z,5019414,095L02,Tarnstead,0.2,NTU
2019-03-06T13:00:00Z,5987405,095L05,Tarnstead,0.2,NTU
2019-03-20T13:00:00Z,5988032,095L04,Tarnstead,0.2,NTU
2019-05-29T14:00:00Z,6076086,095L03,Tarnstead,0.1,NTU
2017-02-08T13:00:00Z,5039799,095L03,Tarnstead,0.2,NTU
2017-08-23T14:00:00Z,5281587,095L04,Tarnstead,0.2,NTU
2017-08-02T14:00:00Z,5280864,095L02,Tarnstead,0.05,NTU
2019-02-27T13:00:00Z,5943785,095L02,Tarnstead,0.1,NTU
2018-10-03T14:00:00Z,5798035,095L04,Tarnstead,0.2,NTU
2017-11-08T13:00:00Z,5385575,095L04,Tarnstead,4.362040729727596,NTU
2019-05-01T14:00:00Z,6075261,095L03,Tarnstead,0.1,NTU
2017-01-05T13:00:00Z,5018712,095L03,Tarnstead,0.1,NTU
2019-04-22T14:00:00Z,6027042,095L05,Tarnstead,0.1,NTU
2019-02-13T13:00:00Z,5943215,095L02,Tarnstead,0.1,NTU
2019-03-14T13:00:00Z,5987715,095L02,Tarnstead,5.950611718464643,NTU
2017-06-29T14:00:00Z,5265941,095L02,Tarnstead,0.05,NTU
2017-02-01T13:00:00Z,5039200,095L01,Tarnstead,0.2,NTU
2019-05-22T14:00:00Z,6075933,095L02,Tarnstead,0.05,NTU
2019-06-05T14:00:00Z,6092380,095L04,Tarnstead,0.05,NTU
2019-01-31T13:00:00Z,5924150,095L03,Tarnstead,0.2,NTU
2019-04-17T14:00:00Z,6026770,095L04,Tarnstead,0.2,NTU
2019-05-08T14:00:00Z,6075415,095L02,Tarnstead,0.1,NTU
2019-06-10T14:00:00Z,6092644,095L03,Tarnstead,0.05,NTU
2017-03-08T13:00:00Z,5093005,095L04,Tarnstead,4.767170769162476,NTU
2017-04-27T14:00:00Z,5132802,095L01,Tarnstead,0.05,NTU
2017-05-03T14:00:00Z,5172098,095L05,Tarnstead,0.1,NTU
2017-07-13T14:00:00Z,5284823,095L05,Tarnstead,0.05,NTU
2019-04-10T14:00:00Z,6026378,095L03,Tarnstead,0.1,NTU
2019-03-27T13:00:00Z,5988276,095L03,Tarnstead,0.2,NTU
2017-03-02T13:00:00Z,5092748,095L05,Tarnstead,0.1,NTU
2017-05-10T14:00:00Z,5172975,095L04,Tarnstead,0.1,NTU
2017-02-22T13:00:00Z,5040338,095L02,Tarnstead,0.1,NTU
2017-03-22T13:00:00Z,5093513,095L03,Tarnstead,0.1,NTU
2017-12-27T13:00:00Z,5387648,095L03,Tarnstead,0.2,NTU
2017-06-15T14:00:00Z,5198768,095L04,Tarnstead,0.05,NTU
2017-04-05T14:00:00Z,5131150,095L05,Tarnstead,0.2,NTU
2017-08-16T14:00:00Z,5281388,095L05,Tarnstead,0.1,NTU
2017-05-31T14:00:00Z,5173663,095L01,Tarnstead,5.6461250353604555,NTU
2017-10-11T13:00:00Z,5343995,095L03,Tarnstead,0.05,NTU
2017-05-24T14:00:00Z,5173429,095L02,Tarnstead,0.1,NTU
2017-10-25T13:00:00Z,5344562,095L01,Tarnstead,0.1,NTU
2017-11-15T13:00:00Z,5385908,095L03,Tarnstead,0.2,NTU
2017-12-13T13:00:00Z,5387043,095L05,Tarnstead,0.1,NTU
2018-04-11T14:00:00Z,5580313,095L03,Tarnstead,0.05,NTU
2017-08-09T14:00:00Z,5281095,095L01,Tarnstead,0.1,NTU
2017-07-05T14:00:00Z,5251785,095L01,Tarnstead,0.1,NTU
2017-06-21T14:00:00Z,5199042,095L03,Tarnstead,0.05,NTU
2018-02-14T13:00:00Z,5460055,095L01,Tarnstead,0.1,NTU
2018-01-17T13:00:00Z,5457691,095L05,Tarnstead,0.1,NTU
2017-11-29T13:00:00Z,5386455,095L04,Tarnstead,0.1,NTU
2018-03-07T13:00:00Z,5571142,095L03,Tarnstead,4.559400530997664,NTU
2017-12-06T13:00:00Z,5386745,095L01,Tarnstead,0.1,NTU
2018-03-15T13:00:00Z,5472480,095L05,Tarnstead,0.1,NTU
2017-01-26T13:00:00Z,5019675,095L05,Tarnstead,0.1,NTU
2017-03-16T13:00:00Z,5093273,095L01,Tarnstead,0.1,NTU
2017-10-04T13:00:00Z,5343625,095L04,Tarnstead,0.1,NTU
2018-01-24T13:00:00Z,5459291,095L04,Tarnstead,0.05,NTU
2017-04-12T14:00:00Z,5132160,095L02,Tarnstead,0.1,NTU
2017-09-20T14:00:00Z,5282644,095L01,Tarnstead,0.1,NTU
2017-04-20T14:00:00Z,5132454,095L04,Tarnstead,0.1,NTU
2018-02-21T13:00:00Z,5555598,095L05,Tarnstead,0.1,NTU
2017-07-19T14:00:00Z,5290447,095L04,Tarnstead,0.05,NTU
2017-07-26T14:00:00Z,5297979,095L03,Tarnstead,0.05,NTU
2017-10-18T13:00:00Z,5344319,095L02,Tarnstead,0.05,NTU
2018-04-05T14:00:00Z,5609390,095L04,Tarnstead,0.05,NTU
2018-05-02T14:00:00Z,5581004,095L05,Tarnstead,0.1,NTU
2017-11-22T13:00:00Z,5386211,095L02,Tarnstead,0.1,NTU
2018-01-31T13:00:00Z,5459531,095L03,Tarnstead,0.05,NTU
2018-02-07T13:00:00Z,5459804,095L02,Tarnstead,0.05,NTU
2018-03-28T13:00:00Z,5605675,095L01,Tarnstead,0.05,NTU
2018-01-10T13:00:00Z,5457443,095L01,Tarnstead,0.1,NTU
2018-02-28T13:00:00Z,5566191,095L04,Tarnstead,0.05,NTU
2018-09-05T14:00:00Z,5765958,095L02,Tarnstead,0.1,NTU
2018-08-29T14:00:00Z,5737433,095L04,Tarnstead,0.1,NTU
2018-05-16T14:00:00Z,5661608,095L03,Tarnstead,0.05,NTU
2018-04-26T14:00:00Z,5580818,095L02,Tarnstead,0.1,NTU
2018-07-18T14:00:00Z,5690961,095L05,Tarnstead,0.2,NTU
2018-09-13T14:00:00Z,5766263,095L03,Tarnstead,0.2,NTU
2018-09-19T14:00:00Z,5766544,095L01,Tarnstead,0.3,NTU
2018-04-18T14:00:00Z,5580580,095L05,Tarnstead,4.044860344845802,NTU
2018-05-09T14:00:00Z,5581217,095L04,Tarnstead,4.3867377657443285,NTU
2018-10-10T13:00:00Z,5798323,095L02,Tarnstead,0.2,NTU
2018-08-08T14:00:00Z,5734775,095L02,Tarnstead,0.2,NTU
2018-10-24T13:00:00Z,5798937,095L04,Tarnstead,0.2,NTU
2018-08-01T14:00:00Z,5734546,095L03,Tarnstead,0.1,NTU
2018-07-05T14:00:00Z,5690341,095L02,Tarnstead,0.1,NTU
2018-09-26T14:00:00Z,5766759,095L05,Tarnstead,1.1,NTU
2018-11-14T13:00:00Z,5847719,095L04,Tarnstead,0.2,NTU
2017-09-13T14:00:00Z,5282366,095L02,Tarnstead,0.1,NTU
2018-12-19T13:00:00Z,5889926,095L05,Tarnstead,0.2,NTU
2019-01-03T13:00:00Z,5923145,095L03,Tarnstead,0.1,NTU
2018-11-07T13:00:00Z,5847308,095L02,Tarnstead,0.1,NTU
2018-11-21T13:00:00Z,5848008,095L05,Tarnstead,0.1,NTU
2017-09-27T14:00:00Z,5282905,095L05,Tarnstead,0.1,NTU
2017-09-06T14:00:00Z,5282036,095L03,Tarnstead,0.05,NTU
2018-06-14T14:00:00Z,5582252,095L05,Tarnstead,0.7,NTU
2018-05-23T14:00:00Z,5581668,095L05,Tarnstead,0.2,NTU
2018-06-20T14:00:00Z,5594878,095L04,Tarnstead,0.1,NTU
