Sample_No,Date_Sampled,Sample_Point,Zone,Measure,Result,Units
5581970,2018-06-06,S14759,Blancathey,Turbidity,0.1,NTU
5581987,2018-06-06,S10837,Tarnstead,E Coli,0,Orgs/100mL
5581992,2018-06-06,S18703,Pontybridge,E Coli,0,Orgs/100mL
5581986,2018-06-06,S11858,Wakefield,E Coli,0,Orgs/100mL
5581984,2018-06-06,S13798,Snake's Canyon,E Coli,0,Orgs/100mL
5581981,2018-06-06,S13397,Merton,Turbidity,0.3,NTU
5581994,2018-06-06,S15280,Strathmore,Turbidity,0.2,NTU
5581982,2018-06-06,S10703,Paethsmouth,Turbidity,0.2,NTU
5581994,2018-06-06,S15280,Strathmore,E Coli,0,Orgs/100mL
5581992,2018-06-06,S18703,Pontybridge,Turbidity,0.3,NTU
5581987,2018-06-06,S10837,Tarnstead,Turbidity,0.2,NTU
5582047,2018-06-11,S13371,Southwold,E Coli,0,Orgs/100mL
5587103,2018-03-21,S18344,Pontybridge,Turbidity,0.05,NTU
5889558,2018-12-12,S13446,Wakefield,Turbidity,0.3,NTU
5484312,2018-03-21,S11858,Wakefield,THMs,0.12,mg/L
5587102,2018-03-21,S19914,Merton,Turbidity,0.05,NTU
5484312,2018-03-21,S11858,Wakefield,Turbidity,0.05,NTU
5484292,2018-03-21,S17296,Blancathey,THMs,0.083,mg/L
5848006,2018-11-21,S13317,Pontybridge,Turbidity,0.2,NTU
5847972,2018-11-21,S19914,Merton,Turbidity,0.1,NTU
5019393,2017-01-18,S17923,Paethsmouth,Turbidity,0.2,NTU
5019396,2017-01-18,S13798,Snake's Canyon,E Coli,0,Orgs/100mL
5019356,2017-01-17,S14733,Bellmoral,Turbidity,0.2,NTU
5019412,2017-01-18,S18865,Pontybridge,E Coli,0,Orgs/100mL
5019412,2017-01-18,S18865,Pontybridge,Turbidity,0.2,NTU
5019384,2017-01-18,S15513,Merton,Turbidity,0.2,NTU
5385575,2017-11-08,S11076,Strathmore,Turbidity,0.1,NTU
5385533,2017-11-07,S18588,Bellmoral,Turbidity,0.2,NTU
5735000,2018-08-14,S17769,Bellmoral,Turbidity,0.1,NTU
5735024,2018-08-15,S14759,Blancathey,Turbidity,0.3,NTU
5735026,2018-08-15,S19914,Merton,Turbidity,0.2,NTU
5735036,2018-08-15,S14567,Tarnstead,Turbidity,0.1,NTU
5735041,2018-08-15,S11858,Wakefield,THMs,0.028,mg/L
5735054,2018-08-15,S15163,Strathmore,Turbidity,0.3,NTU
5735033,2018-08-15,S11858,Wakefield,Turbidity,0.1,NTU
5890126,2018-12-26,S13874,Bellmoral,E Coli,0,Orgs/100mL
5889656,2018-12-16,S14049,Southwold,E Coli,0,Orgs/100mL
5889559,2018-12-12,S17721,Tarnstead,Turbidity,0.1,NTU
5889544,2018-12-12,S19541,Paethsmouth,Turbidity,0.3,NTU
5889541,2018-12-12,S13397,Merton,Turbidity,0.2,NTU
5889570,2018-12-12,S14812,Swadlincote,Turbidity,0.2,NTU
5798045,2018-10-03,S11076,Strathmore,THMs,0.061,mg/L
5798016,2018-10-03,S13446,Wakefield,Turbidity,0.2,NTU
5798008,2018-10-03,S14317,Blancathey,Turbidity,0.2,NTU
5581981,2018-06-06,S13397,Merton,E Coli,0,Orgs/100mL
5581984,2018-06-06,S13798,Snake's Canyon,Turbidity,0.1,NTU
5798595,2018-10-17,S16870,Wakefield,Turbidity,0.2,NTU
5798592,2018-10-17,S19339,Paethsmouth,Turbidity,0.1,NTU
5798564,2018-10-16,S17769,Bellmoral,Turbidity,0.2,NTU
5798613,2018-10-17,S12119,Pontybridge,Turbidity,0.2,NTU
5798594,2018-10-17,S10990,Snake's Canyon,Turbidity,0.3,NTU
5798896,2018-10-23,S13874,Bellmoral,E Coli,0,Orgs/100mL
5798396,2018-10-14,S11765,Southwold,THMs,0.011,mg/L
5735236,2018-08-22,S11254,Wakefield,E Coli,0,Orgs/100mL
5735209,2018-08-21,S13874,Bellmoral,E Coli,0,Orgs/100mL
5735233,2018-08-22,S17075,Paethsmouth,E Coli,0,Orgs/100mL
5735054,2018-08-15,S15163,Strathmore,E Coli,0,Orgs/100mL
5735232,2018-08-22,S18186,Merton,E Coli,0,Orgs/100mL
5039790,2017-02-08,S13971,Snake's Canyon,THMs,0.006,mg/L
5093733,2017-03-29,S13230,Paethsmouth,Turbidity,0.2,NTU
5093733,2017-03-29,S13230,Paethsmouth,E Coli,0,Orgs/100mL
5093744,2017-03-29,S18255,Swadlincote,E Coli,0,Orgs/100mL
5093743,2017-03-29,S12119,Pontybridge,E Coli,0,Orgs/100mL
5039757,2017-02-08,S17516,Blancathey,E Coli,0,Orgs/100mL
5039759,2017-02-08,S19914,Merton,E Coli,0,Orgs/100mL
5039890,2017-02-12,S19084,Southwold,E Coli,0,Orgs/100mL
5093717,2017-03-29,S12012,Blancathey,Turbidity,0.2,NTU
5093731,2017-03-29,S18186,Merton,Turbidity,0.2,NTU
5093731,2017-03-29,S18186,Merton,E Coli,0,Orgs/100mL
5039810,2017-02-08,S13306,Pontybridge,THMs,0.006,mg/L
5093734,2017-03-29,S10990,Snake's Canyon,E Coli,0,Orgs/100mL
5093745,2017-03-29,S16510,Strathmore,Turbidity,0.2,NTU
5093732,2017-03-29,S17058,Paethsmouth,E Coli,0,Orgs/100mL
5039791,2017-02-08,S13840,Wakefield,THMs,0.034,mg/L
5093735,2017-03-29,S11254,Wakefield,E Coli,0,Orgs/100mL
5093735,2017-03-29,S11254,Wakefield,Turbidity,0.1,NTU
5093745,2017-03-29,S16510,Strathmore,E Coli,0,Orgs/100mL
5093717,2017-03-29,S12012,Blancathey,E Coli,0,Orgs/100mL
5199017,2017-06-21,S17173,Swadlincote,E Coli,0,Orgs/100mL
5173275,2017-05-21,S13371,Southwold,Turbidity,0.2,NTU
5173191,2017-05-17,S11207,Snake's Canyon,Turbidity,0.1,NTU
5173188,2017-05-17,S12436,Paethsmouth,Turbidity,0.1,NTU
5173209,2017-05-17,S11422,Swadlincote,Turbidity,0.1,NTU
5173210,2017-05-17,S15280,Strathmore,Turbidity,6.34,NTU
5491401,2018-03-28,S18865,Pontybridge,E Coli,0,Orgs/100mL
5491396,2018-03-28,S18682,Snake's Canyon,E Coli,0,Orgs/100mL
5491395,2018-03-28,S19541,Paethsmouth,E Coli,0,Orgs/100mL
5798622,2018-10-17,S18255,Swadlincote,Turbidity,0.2,NTU
5387353,2017-12-20,S13306,Pontybridge,Turbidity,0.1,NTU
5387332,2017-12-21,S12377,Paethsmouth,E Coli,0,Orgs/100mL
5387337,2017-12-21,S17696,Tarnstead,E Coli,0,Orgs/100mL
5387330,2017-12-21,S10584,Blancathey,E Coli,0,Orgs/100mL
5387331,2017-12-21,S13397,Merton,E Coli,0,Orgs/100mL
5387331,2017-12-21,S13397,Merton,Turbidity,0.3,NTU
5387335,2017-12-21,S16371,Snake's Canyon,E Coli,0,Orgs/100mL
5387335,2017-12-21,S16371,Snake's Canyon,Turbidity,0.2,NTU
5387334,2017-12-21,S13230,Paethsmouth,E Coli,0,Orgs/100mL
5387332,2017-12-21,S12377,Paethsmouth,Turbidity,0.2,NTU
5387355,2017-12-20,S11076,Strathmore,Turbidity,0.1,NTU
5387354,2017-12-20,S12566,Swadlincote,Turbidity,0.2,NTU
5735237,2018-08-22,S10837,Tarnstead,E Coli,0,Orgs/100mL
5735026,2018-08-15,S19914,Merton,E Coli,0,Orgs/100mL
5735033,2018-08-15,S11858,Wakefield,E Coli,0,Orgs/100mL
5690912,2018-07-18,S16371,Snake's Canyon,Turbidity,0.2,NTU
5690914,2018-07-18,S10837,Tarnstead,Turbidity,0.1,NTU
5457153,2018-01-04,S18691,Paethsmouth,E Coli,0,Orgs/100mL
5387648,2017-12-27,S15280,Strathmore,E Coli,0,Orgs/100mL
5690905,2018-07-18,S17725,Paethsmouth,E Coli,0,Orgs/100mL
5387329,2017-12-21,S14317,Blancathey,E Coli,0,Orgs/100mL
5387329,2017-12-21,S14317,Blancathey,Turbidity,0.2,NTU
5387428,2017-12-26,S17867,Southwold,E Coli,0,Orgs/100mL
5387337,2017-12-21,S17696,Tarnstead,Turbidity,0.2,NTU
5734839,2018-08-12,S17867,Southwold,Turbidity,0.2,NTU
5691009,2018-07-22,S19084,Southwold,E Coli,0,Orgs/100mL
5387619,2017-12-26,S17906,Snake's Canyon,E Coli,0,Orgs/100mL
5387593,2017-12-26,S14514,Blancathey,E Coli,0,Orgs/100mL
5387582,2017-12-26,S14758,Bellmoral,E Coli,0,Orgs/100mL
5387614,2017-12-26,S19914,Merton,E Coli,0,Orgs/100mL
5387636,2017-12-27,S14065,Pontybridge,E Coli,0,Orgs/100mL
5387616,2017-12-26,S18038,Paethsmouth,E Coli,0,Orgs/100mL
5387333,2017-12-21,S17058,Paethsmouth,E Coli,0,Orgs/100mL
5387594,2017-12-26,S12437,Blancathey,E Coli,0,Orgs/100mL
5039197,2017-02-01,S12566,Swadlincote,Turbidity,0.3,NTU
5039160,2017-02-01,S18038,Paethsmouth,E Coli,0,Orgs/100mL
5039163,2017-02-01,S13446,Wakefield,E Coli,0,Orgs/100mL
5039197,2017-02-01,S12566,Swadlincote,E Coli,0,Orgs/100mL
5039163,2017-02-01,S13446,Wakefield,Turbidity,0.2,NTU
5039200,2017-02-01,S15163,Strathmore,E Coli,0,Orgs/100mL
5039157,2017-02-01,S18578,Blancathey,Turbidity,0.2,NTU
5039158,2017-02-01,S15996,Blancathey,E Coli,0,Orgs/100mL
5039160,2017-02-01,S18038,Paethsmouth,Turbidity,0.3,NTU
5039789,2017-02-08,S16489,Paethsmouth,THMs,0.008,mg/L
5132428,2017-04-20,S17516,Blancathey,E Coli,0,Orgs/100mL
5132170,2017-04-12,S13306,Pontybridge,THMs,0.004,mg/L
5093734,2017-03-29,S10990,Snake's Canyon,Turbidity,0.2,NTU
5093743,2017-03-29,S12119,Pontybridge,Turbidity,0.2,NTU
5093718,2017-03-29,S14975,Blancathey,E Coli,0,Orgs/100mL
5019051,2017-01-11,S14755,Blancathey,E Coli,0,Orgs/100mL
5173031,2017-05-15,S17867,Southwold,Turbidity,0.2,NTU
5019077,2017-01-11,S18703,Pontybridge,E Coli,0,Orgs/100mL
5040038,2017-02-14,S17769,Bellmoral,E Coli,0,Orgs/100mL
5039890,2017-02-12,S19084,Southwold,Turbidity,0.2,NTU
5040077,2017-02-15,S17696,Tarnstead,E Coli,0,Orgs/100mL
5040063,2017-02-15,S15513,Merton,E Coli,0,Orgs/100mL
5040085,2017-02-15,S14065,Pontybridge,E Coli,0,Orgs/100mL
5040064,2017-02-15,S10703,Paethsmouth,E Coli,0,Orgs/100mL
5040038,2017-02-14,S17769,Bellmoral,Turbidity,0.2,NTU
5890153,2018-12-26,S17075,Paethsmouth,E Coli,0,Orgs/100mL
5890164,2018-12-23,S16589,Swadlincote,E Coli,0,Orgs/100mL
5890155,2018-12-23,S10990,Snake's Canyon,Turbidity,0.2,NTU
5890154,2018-12-23,S12669,Paethsmouth,E Coli,0,Orgs/100mL
5890154,2018-12-23,S12669,Paethsmouth,Turbidity,0.3,NTU
5890151,2018-12-23,S17218,Blancathey,E Coli,0,Orgs/100mL
5889938,2018-12-19,S12119,Pontybridge,THMs,0.006,mg/L
5889987,2018-12-26,S19084,Southwold,E Coli,0,Orgs/100mL
5890126,2018-12-26,S13874,Bellmoral,Turbidity,0.2,NTU
5798666,2018-10-21,S13500,Southwold,E Coli,0,Orgs/100mL
5798044,2018-10-03,S11422,Swadlincote,THMs,0.011,mg/L
5798013,2018-10-03,S18038,Paethsmouth,Turbidity,0.3,NTU
5797984,2018-10-02,S10232,Bellmoral,Turbidity,0.3,NTU
5798034,2018-10-03,S11422,Swadlincote,Turbidity,0.3,NTU
5798014,2018-10-03,S16371,Snake's Canyon,Turbidity,0.2,NTU
5798017,2018-10-03,S17721,Tarnstead,Turbidity,0.2,NTU
5798010,2018-10-03,S13397,Merton,Turbidity,0.2,NTU
5848007,2018-11-21,S12921,Swadlincote,Turbidity,0.1,NTU
5847405,2018-11-11,S13371,Southwold,THMs,0.008,mg/L
5847700,2018-11-14,S12678,Snake's Canyon,Turbidity,0.1,NTU
5847628,2018-11-13,S16669,Bellmoral,Turbidity,0.2,NTU
5847717,2018-11-14,S16901,Pontybridge,Turbidity,0.2,NTU
5735107,2018-08-19,S14925,Southwold,Turbidity,0.2,NTU
5480817,2018-03-20,S14733,Bellmoral,Turbidity,0.05,NTU
5484292,2018-03-21,S17296,Blancathey,Turbidity,0.05,NTU
5484313,2018-03-21,S17721,Tarnstead,THMs,0.15,mg/L
5491397,2018-03-28,S11254,Wakefield,E Coli,0,Orgs/100mL
5587104,2018-03-21,S16510,Strathmore,Turbidity,0.05,NTU
5484330,2018-03-21,S19836,Swadlincote,THMs,0.097,mg/L
5592030,2018-03-25,S13371,Southwold,Turbidity,0.05,NTU
5491390,2018-03-28,S15984,Blancathey,E Coli,0,Orgs/100mL
5491394,2018-03-28,S13818,Paethsmouth,E Coli,0,Orgs/100mL
5491378,2018-03-27,S10232,Bellmoral,Turbidity,0.05,NTU
5491392,2018-03-28,S13397,Merton,E Coli,0,Orgs/100mL
5889578,2018-12-12,S14812,Swadlincote,THMs,0.009,mg/L
5890752,2018-12-12,S17721,Tarnstead,THMs,0.058,mg/L
5690256,2018-07-03,S16276,Bellmoral,E Coli,0,Orgs/100mL
5690110,2018-07-01,S12112,Southwold,Turbidity,0.2,NTU
5198999,2017-06-22,S17721,Tarnstead,E Coli,0,Orgs/100mL
5199025,2017-06-21,S15280,Strathmore,E Coli,0,Orgs/100mL
5199008,2017-06-22,S10584,Blancathey,E Coli,0,Orgs/100mL
5198994,2017-06-22,S19914,Merton,E Coli,0,Orgs/100mL
5198998,2017-06-22,S13840,Wakefield,E Coli,0,Orgs/100mL
5199016,2017-06-21,S14065,Pontybridge,E Coli,0,Orgs/100mL
5019031,2017-01-10,S17620,Bellmoral,Turbidity,0.2,NTU
5019055,2017-01-11,S13148,Paethsmouth,E Coli,0,Orgs/100mL
5019057,2017-01-11,S11281,Snake's Canyon,E Coli,0,Orgs/100mL
5264598,2017-06-28,S13971,Snake's Canyon,Turbidity,0.05,NTU
5264601,2017-06-28,S13446,Wakefield,Turbidity,0.05,NTU
5264603,2017-06-28,S17696,Tarnstead,Turbidity,0.05,NTU
5019056,2017-01-11,S14735,Paethsmouth,E Coli,0,Orgs/100mL
5019053,2017-01-11,S13397,Merton,E Coli,0,Orgs/100mL
5019078,2017-01-11,S11422,Swadlincote,E Coli,0,Orgs/100mL
5019395,2017-01-18,S10990,Snake's Canyon,Turbidity,0.3,NTU
5198997,2017-06-22,S12678,Snake's Canyon,E Coli,0,Orgs/100mL
5019068,2017-01-11,S14567,Tarnstead,E Coli,0,Orgs/100mL
5019079,2017-01-11,S11076,Strathmore,E Coli,0,Orgs/100mL
5040087,2017-02-15,S11076,Strathmore,E Coli,0,Orgs/100mL
5039797,2017-02-08,S13306,Pontybridge,Turbidity,0.4,NTU
5039799,2017-02-08,S15280,Strathmore,Turbidity,0.2,NTU
5039757,2017-02-08,S17516,Blancathey,Turbidity,0.2,NTU
5019368,2017-01-17,S14733,Bellmoral,THMs,0.009,mg/L
5173275,2017-05-21,S13371,Southwold,E Coli,0,Orgs/100mL
5199042,2017-06-21,S15280,Strathmore,THMs,0.05,mg/L
5198995,2017-06-22,S19152,Paethsmouth,E Coli,0,Orgs/100mL
5251747,2017-07-05,S15929,Blancathey,E Coli,0,Orgs/100mL
5199063,2017-06-25,S14049,Southwold,E Coli,0,Orgs/100mL
5264595,2017-06-28,S18578,Blancathey,Turbidity,0.1,NTU
5251737,2017-07-04,S18588,Bellmoral,E Coli,0,Orgs/100mL
5199210,2017-06-29,S16901,Pontybridge,Turbidity,0.3,NTU
5265940,2017-06-29,S14363,Swadlincote,Turbidity,0.2,NTU
5251746,2017-07-05,S17516,Blancathey,E Coli,0,Orgs/100mL
5251749,2017-07-05,S13818,Paethsmouth,E Coli,4,Orgs/100mL
5251751,2017-07-05,S19666,Paethsmouth,E Coli,0,Orgs/100mL
5264390,2017-06-27,S16669,Bellmoral,Turbidity,0.05,NTU
5039811,2017-02-08,S15280,Strathmore,THMs,0.047,mg/L
5018538,2017-01-02,S13371,Southwold,Turbidity,0.2,NTU
5198495,2017-06-08,S13840,Wakefield,Turbidity,0.1,NTU
5251627,2017-07-02,S19084,Southwold,Turbidity,0.05,NTU
5198496,2017-06-08,S17696,Tarnstead,E Coli,0,Orgs/100mL
5251745,2017-07-05,S17245,Blancathey,E Coli,0,Orgs/100mL
5019059,2017-01-11,S13446,Wakefield,Turbidity,0.2,NTU
5385573,2017-11-08,S13317,Pontybridge,E Coli,0,Orgs/100mL
5385559,2017-11-08,S13397,Merton,E Coli,0,Orgs/100mL
5385284,2017-11-02,S15513,Merton,THMs,0.006,mg/L
5019055,2017-01-11,S13148,Paethsmouth,Turbidity,0.2,NTU
5019170,2017-01-15,S13531,Southwold,E Coli,0,Orgs/100mL
5019068,2017-01-11,S14567,Tarnstead,Turbidity,0.1,NTU
5019053,2017-01-11,S13397,Merton,Turbidity,0.2,NTU
5019050,2017-01-11,S12012,Blancathey,Turbidity,0.2,NTU
5019079,2017-01-11,S11076,Strathmore,Turbidity,0.2,NTU
5385565,2017-11-08,S11858,Wakefield,E Coli,0,Orgs/100mL
5385560,2017-11-08,S10703,Paethsmouth,E Coli,0,Orgs/100mL
5385323,2017-11-02,S14271,Strathmore,THMs,0.007,mg/L
5385563,2017-11-08,S13856,Snake's Canyon,E Coli,0,Orgs/100mL
5385561,2017-11-08,S13818,Paethsmouth,E Coli,0,Orgs/100mL
5385558,2017-11-08,S14975,Blancathey,E Coli,0,Orgs/100mL
5385574,2017-11-08,S12921,Swadlincote,E Coli,0,Orgs/100mL
5385564,2017-11-08,S13971,Snake's Canyon,E Coli,0,Orgs/100mL
5385559,2017-11-08,S13397,Merton,Turbidity,0.3,NTU
5385558,2017-11-08,S14975,Blancathey,Turbidity,0.1,NTU
5385566,2017-11-08,S14567,Tarnstead,Turbidity,0.2,NTU
5385575,2017-11-08,S11076,Strathmore,E Coli,0,Orgs/100mL
5198489,2017-06-08,S18186,Merton,Turbidity,0.1,NTU
5385573,2017-11-08,S13317,Pontybridge,Turbidity,0.2,NTU
5385297,2017-11-02,S16901,Pontybridge,E Coli,0,Orgs/100mL
5385562,2017-11-08,S19541,Paethsmouth,Turbidity,0.1,NTU
5385298,2017-11-02,S14363,Swadlincote,E Coli,0,Orgs/100mL
5385288,2017-11-02,S17696,Tarnstead,E Coli,0,Orgs/100mL
5385266,2017-11-02,S14755,Blancathey,Turbidity,0.2,NTU
5385266,2017-11-02,S14755,Blancathey,E Coli,0,Orgs/100mL
5385287,2017-11-02,S13446,Wakefield,Turbidity,0.1,NTU
5385255,2017-11-01,S16669,Bellmoral,Turbidity,0.1,NTU
5385255,2017-11-01,S16669,Bellmoral,E Coli,0,Orgs/100mL
5385270,2017-11-02,S19152,Paethsmouth,E Coli,0,Orgs/100mL
5385566,2017-11-08,S14567,Tarnstead,E Coli,0,Orgs/100mL
5173193,2017-05-17,S13840,Wakefield,Turbidity,0.1,NTU
5173291,2017-05-21,S13371,Southwold,THMs,0.005,mg/L
5039778,2017-02-08,S10837,Tarnstead,Turbidity,0.2,NTU
5173198,2017-05-17,S14514,Blancathey,THMs,0.005,mg/L
5039162,2017-02-01,S12678,Snake's Canyon,Turbidity,0.2,NTU
5039161,2017-02-01,S18691,Paethsmouth,E Coli,0,Orgs/100mL
5173208,2017-05-17,S18865,Pontybridge,Turbidity,0.1,NTU
5173200,2017-05-17,S17696,Tarnstead,THMs,0.044,mg/L
5039145,2017-01-31,S16669,Bellmoral,E Coli,0,Orgs/100mL
5039162,2017-02-01,S12678,Snake's Canyon,E Coli,0,Orgs/100mL
5039164,2017-02-01,S14567,Tarnstead,Turbidity,0.2,NTU
5039799,2017-02-08,S15280,Strathmore,E Coli,0,Orgs/100mL
5039778,2017-02-08,S10837,Tarnstead,E Coli,0,Orgs/100mL
5039775,2017-02-08,S13971,Snake's Canyon,E Coli,0,Orgs/100mL
5039776,2017-02-08,S11466,Snake's Canyon,E Coli,0,Orgs/100mL
5039773,2017-02-08,S10129,Paethsmouth,E Coli,0,Orgs/100mL
5040065,2017-02-15,S13818,Paethsmouth,E Coli,0,Orgs/100mL
5040067,2017-02-15,S17081,Snake's Canyon,E Coli,0,Orgs/100mL
5040076,2017-02-15,S11254,Wakefield,E Coli,0,Orgs/100mL
5040062,2017-02-15,S11021,Blancathey,E Coli,0,Orgs/100mL
5040086,2017-02-15,S14363,Swadlincote,E Coli,0,Orgs/100mL
5018671,2017-01-04,S14758,Bellmoral,Turbidity,0.2,NTU
5018700,2017-01-03,S11254,Wakefield,Turbidity,0.1,NTU
5040086,2017-02-15,S14363,Swadlincote,Turbidity,0.1,NTU
5039732,2017-02-07,S18588,Bellmoral,E Coli,0,Orgs/100mL
5198489,2017-06-08,S18186,Merton,E Coli,0,Orgs/100mL
5198469,2017-06-07,S13874,Bellmoral,Turbidity,0.1,NTU
5198496,2017-06-08,S17696,Tarnstead,Turbidity,0.1,NTU
5198512,2017-06-08,S12566,Swadlincote,Turbidity,0.1,NTU
5198491,2017-06-08,S17058,Paethsmouth,Turbidity,0.3,NTU
